File Name,LOC,Comment Percentage,Docstring Percentage,Blank Percentage,Number Of Functions,Average Function Length,Number of Loops,Average Loop Length,CycloComplexity,Max Depth,Execution Time,Class,Semester,Year
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2022/submission_125526066/final|final_project.py,236,11.864406779661017,0.0,30.08474576271186,9,13.555555555555555,6,5.5,14,2,1.2826318740844727,CS35,sp2022,2022
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_s2022/submission_129695073/finalProject/Sources/flappy_learning_pygame-master/Ch15/defs.py,103,0.0,0.0,62.13592233009708,0,0,0,0,2,0,1.3443689346313477,CS35,s2022,2022
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2022/submission_125321132/train_dalle_mejia.py,874,5.148741418764303,2.631578947368421,21.28146453089245,11,9.727272727272727,4,35.25,137,2,1.834975004196167,CS35,sp2022,2022
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2022/submission_123813320/final|BERTfandomclassifier.py,746,12.734584450402146,0.8042895442359249,37.39946380697051,6,37.833333333333336,8,7.125,56,2,1.3016109466552734,CS35,sp2022,2022
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2022/submission_125094981/lib/jinja2/debug.py,191,13.612565445026178,14.659685863874344,17.801047120418847,3,58.0,4,10.0,39,3,1.29482102394104,CS35,sp2022,2022
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2022/submission_125672029/renderer.py,134,1.4925373134328357,0.0,15.671641791044777,6,13.5,3,8.333333333333334,23,3,1.322861909866333,CS35,sp2022,2022
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2022/submission_153112423/final.py,351,29.629629629629626,7.6923076923076925,12.535612535612536,7,13.857142857142858,6,15.0,55,2,1.2657220363616943,CS5,s2022,2022
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2022/submission_153253073/final.py,373,17.158176943699733,3.2171581769436997,26.273458445040216,6,12.333333333333334,1,114.0,55,2,1.2771987915039062,CS5,s2022,2022
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2022/submission_125672029/methods.py,144,9.027777777777777,0.0,13.88888888888889,13,9.461538461538462,12,3.3333333333333335,64,4,1.2589631080627441,CS35,sp2022,2022
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2022/submission_125094981/lib/flask/typing.py,55,27.27272727272727,0.0,12.727272727272727,0,0,0,0,4,0,1.27779221534729,CS35,sp2022,2022
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2022/submission_125094981/lib/jinja2/optimizer.py,47,4.25531914893617,27.659574468085108,21.27659574468085,3,8.333333333333334,0,0,6,1,1.2905299663543701,CS35,sp2022,2022
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2022/submission_152246294/final.py,212,0.4716981132075472,0.0,20.28301886792453,1,202.0,9,19.444444444444443,74,1,1.2509350776672363,CS5,s2022,2022
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2022/submission_126551059/__init__.py,14,7.142857142857142,0.0,35.714285714285715,0,0,0,0,2,0,1.2573649883270264,CS35,sp2022,2022
