File Name,LOC,Comment Percentage,Number Of Functions,CycloComplexity,Max Depth,Weeks Covered
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s23/submission_185186492/final|Final_Proj_V1.py,753,32.416620234020534,24,79,3,8
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s23/submission_185186492/final.py,656,34.33587087649237,24,79,3,8
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s23/submission_185186492/final|Final_Proj_V2.py,366,13.494664899923281,15,32,3,8
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s23/submission_185215161/final|finalProject.py,2494,3.853041732240736,0,594,0,4
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s23/submission_185202057/final|Copy_of_TF_GAN_kaggle (1).py,235,10.19230769230769,7,18,1,7
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s23/submission_185202057/final|sinGAN_test.py,48,94.67849223946784,0,2,0,1
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s23/submission_185200900/final|hw9.py,556,1.8127843212710104,9,63,2,6
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s23/submission_185198865/final|hw9_project_file.py,318,15.393351228577323,4,30,3,5
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s23/submission_185197848/final|final_project.py,641,35.58201058201058,10,64,2,7
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s23/submission_185190518/erika_cs35/final|final_project_erika_.py,1075,46.53008315153815,8,38,2,7
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s23/submission_185243490/final|cs35 final project reflection.py,19,0.0,0,2,0,2
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s23/submission_185243490/app.py,78,72.11350293542074,2,4,1,3
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s23/submission_185198232/final|CS35_Final_Project_Final_Save.py,3353,5.704376943314992,9,113,3,5
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s23/submission_185193739/final|Johnny Yang Project.py,480,30.865686038099827,1,29,1,6
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s23/submission_185293910/final|final_pres.py,121,16.585629389519173,3,16,2,6
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s23/submission_185173178/final|letter_dreamer.py,540,26.610227662738815,2,10,1,5
