File Name,LOC,Comment Percentage,Docstring Percentage,Blank Percentage,Number Of Functions,Average Function Length,Number of Loops,Average Loop Length,CycloComplexity,Max Depth,Execution Time,Class,Semester,Year
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_358/final|hw5pr1birth_modeler .py,426,46.71361502347418,3.286384976525822,28.169014084507044,3,14.333333333333334,6,5.333333333333333,18,1,1.336935043334961,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_3510/final|hw1pr1 .py,864,25.0,12.268518518518519,29.51388888888889,21,18.476190476190474,32,11.9375,156,2,1.398597002029419,CS35,sp2025,2025
"/Users/summer-2024/Desktop/code metrics 25/All-Data/IST341-Data/assignments postllm/submissions_ist341_sp2025/final|Copy_of_Week_5_CGU_For_libraries,_for_lists,_for_the_win (1).py",911,26.5642151481888,18.331503841931944,30.845225027442368,15,10.2,7,6.571428571428571,59,3,5.032379150390625,IST341,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_356/final|hw6pr2digit_modeler .py,751,45.00665778961385,1.8641810918774968,26.364846870838882,3,12.666666666666666,12,5.583333333333333,32,1,1.291167974472046,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_357/final|hw2pr1 .py,805,38.26086956521739,3.1055900621118013,27.701863354037265,12,17.083333333333332,3,3.3333333333333335,56,2,timeout,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_3510/final|hw3pr1 .py,471,26.963906581740975,20.169851380042463,35.6687898089172,8,10.375,10,5.3,42,1,2.1425888538360596,CS35,sp2025,2025
"/Users/summer-2024/Desktop/code metrics 25/All-Data/IST341-Data/assignments postllm/submissions_ist341_sp2025/final|CGU_Week1_Cells,_Code,_and_Conditionals_('s_Copy).py",538,20.63197026022305,1.1152416356877324,31.784386617100374,2,48.5,0,0,49,1,1.2688350677490234,IST341,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_3512/final|hw5pr1birth_cleaner .py,112,23.214285714285715,0.0,41.07142857142857,1,5.0,3,2.0,12,1,1.2306408882141113,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_3512/final|hw7pr1iri_modeler .py,990,46.06060606060606,4.94949494949495,23.83838383838384,9,14.88888888888889,13,5.230769230769231,54,2,1.276285171508789,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_354/final|hw6pr1birth_modeler .py,89,13.48314606741573,0.0,41.57303370786517,0,0,3,9.0,12,0,1.3726141452789307,CS35,sp2025,2025
"/Users/summer-2024/Desktop/code metrics 25/All-Data/IST341-Data/assignments postllm/submissions_ist341_sp2025/final|IST_341_Final_Project__,_,__ (1).py",402,11.691542288557214,0.0,30.597014925373134,0,0,9,9.555555555555555,30,0,1.4359068870544434,IST341,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/IST341-Data/assignments postllm/submissions_ist341_sp2025/final|all_in_one_iris_modeler_ipynb__&_ (1).py,770,21.948051948051948,2.3376623376623376,28.44155844155844,9,9.666666666666666,21,5.380952380952381,78,1,1.3083651065826416,IST341,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_3511/final|hw2pr1 .py,711,38.67791842475386,5.063291139240507,27.70745428973277,8,19.25,2,4.5,15,2,timeout,CS35,sp2025,2025
