File Name,LOC,Comment Percentage,Number Of Functions,CycloComplexity,Max Depth,Weeks Covered
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26586591/final.py,1038,19.290074277449566,31,498,5,7
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26665142/final.py,318,57.16253443526171,17,76,3,8
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26628179/final.py,345,24.53192072335373,15,71,2,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26668662/final.py,278,24.229753521126764,14,66,4,5
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26639230/final.py,779,15.871991741402669,22,404,3,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26412143/final.py,441,33.49776996891472,24,163,3,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26567250/final.py,293,35.88755856324831,14,42,2,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26668852/final.py,339,36.0049576533774,17,57,3,8
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26475486/final.py,439,42.8871625063678,25,159,3,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26639299/final.py,288,38.95544739797828,15,67,4,5
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26611097/final.py,463,38.36379569354031,25,167,4,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26641145/final.py,986,14.645725870608462,32,558,4,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26580400/final.py,610,30.946091380491147,27,204,2,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26595519/final.py,422,24.650811627029068,26,184,3,7
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26668697/Final.py,391,37.88651036357459,22,78,2,8
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26634978/final.py,403,27.14589020321504,24,136,3,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26424416/final.py,339,21.021659174499383,18,148,3,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26638988/final.py,314,34.24686487248133,11,64,2,5
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26639298/final.py,352,26.960748214154208,8,59,2,5
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26582951/final.py,425,27.021883920076117,20,140,4,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26582951/tetris.py,454,26.684575777927023,22,152,4,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26668853/final.py,344,22.928709055876684,18,105,3,8
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26637565/final.py,329,26.75016991940965,14,52,4,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26583591/finalproject/final.py,357,37.273737694506195,17,241,2,7
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26583591/finalproject/textmodel.py,313,28.79010891963497,14,73,4,5
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26583591/finalproject/textmodel.extra.py,369,27.521198649872392,15,87,4,5
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26583591/finalproject/nltk.tag.stanford.py,254,37.34939759036144,11,19,2,7
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26894693/final.py,758,18.874672176746397,14,94,3,8
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26616100/final.py,595,51.22155375359665,31,198,3,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26665250/final.py,396,19.871212746635848,27,149,3,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26639570/final.py,557,34.856969880429844,30,187,5,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26622508/finalproject.py,364,16.61363255736058,15,90,3,5
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26622508/porter.py,375,37.675864749319864,17,240,2,7
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26664313/final.py,348,52.4402390438247,17,84,2,7
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26558535/final.py,478,34.983321420061955,26,178,4,6
