2018 
Weeks Used,6,6,1
Comments,29,28,10
Ambition,18,17,8
Cyclomatic Complexity,140,104,87
Volume,447,407,171

2019 
Weeks Used,6,6,1
Comments,29,29,9
Ambition,19,19,8
Cyclomatic Complexity,143,149,83
Volume,418,390,144

2020 
Weeks Used,6,7,1
Comments,28,27,12
Ambition,13,15,6
Cyclomatic Complexity,93,69,74
Volume,338,317,151

2021 
Weeks Used,6,6,1
Comments,27,24,17
Ambition,16,15,7
Cyclomatic Complexity,157,107,155
Volume,471,405,289

2022 
Weeks Used,6,6,1
Comments,25,25,13
Ambition,14,15,7
Cyclomatic Complexity,112,90,67
Volume,407,367,214

2022 
Weeks Used,5.87,6.0,1.34
Comments,24.57,24.84,13.16
Ambition,13.88,15.0,6.77
Cyclomatic Complexity,112.48,90.0,67.32
Volume,406.61,367.0,214.5
