File Name,LOC,Comment Percentage,Number Of Functions,CycloComplexity,Max Depth,Weeks Covered,Project Type,Semester,Year
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295081521/finale.py,623,17.288503253796094,28,155,10,6,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/summer cs5 2024 section 2/submission_258443905/final.py,386,36.94876875176904,18,64,3,7,textID,summer cs5 2024 section 2,520242
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295648542/final.py,292,45.79881656804734,6,27,1,4,vPython,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295284487/Final.py,406,32.623682076236825,15,66,3,7,textID,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_294745618/final.py,160,17.437722419928825,7,57,3,6,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_297699843/final.py,181,7.611598626478444,8,75,4,5,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295498075/porter.py,377,37.57946968522251,17,240,2,7,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295086486/finale.py,397,16.548786979998475,23,212,5,6,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295399747/Final.py,158,10.300346553715823,9,57,2,6,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_294306474/final.py,76,3.678929765886285,3,26,2,5,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295670464/finalProject.py,1913,9.8119210457969,40,820,4,6,textGame_keywords,2024 post llm cs5,20245
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/summer cs5 2024 section 1/submission_256946953/final.py,386,1.939347846753492,4,189,1,5,textGame_keywords,summer cs5 2024 section 1,520241
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs5/2024 post llm cs5/submission_295418191/final.py,345,53.3307699702009,18,113,4,4,gameOfLife,2024 post llm cs5,20245
