File Name,LOC,Comment Percentage,Number Of Functions,CycloComplexity,Max Depth,Weeks Covered,Project Type,Semester,Year
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s24/submission_259791202/final|text_file_650463402-AK_FinalProject_CoreFinancials.py,231,11.964060529634303,6,16,3,5,cs35,s24,24
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s23/submission_185198232/final|CS35_Final_Project_Final_Save.py,3353,5.704376943314992,9,113,3,5,cs35,s23,23
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s23/submission_185243490/app.py,78,72.11350293542074,2,4,1,3,cs35,s23,23
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s23/submission_185186492/final.py,656,34.33587087649237,24,79,3,8,cs35,s23,23
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s23/submission_185293910/final|final_pres.py,121,16.585629389519173,3,16,2,6,cs35,s23,23
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s24/submission_259740288/text_file_650342752-main.py,39,25.38253825382538,0,10,0,4,cs35,s24,24
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s24/submission_259791202/final|text_file_650463403-AK_FinalProject_Predictions.py,343,31.669747381392487,1,6,1,5,cs35,s24,24
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s23/submission_185197848/final|final_project.py,641,35.58201058201058,10,64,2,7,cs35,s23,23
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s23/submission_185186492/final|Final_Proj_V1.py,753,32.416620234020534,24,79,3,8,cs35,s23,23
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s24/submission_259829506/final|text_file_650725830-Final_Project_Finale_CS35.py,362,36.05740079498754,2,40,1,6,cs35,s24,24
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s23/submission_185202057/final|Copy_of_TF_GAN_kaggle (1).py,235,10.19230769230769,7,18,1,7,cs35,s23,23
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s23/submission_185173178/final|letter_dreamer.py,540,26.610227662738815,2,10,1,5,cs35,s23,23
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s24/submission_259793909/final|text_file_650471722-Codenames.py,502,27.739159218801724,9,78,2,6,cs35,s24,24
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s23/submission_185200900/final|hw9.py,556,1.8127843212710104,9,63,2,6,cs35,s23,23
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s23/submission_185190518/erika_cs35/final|final_project_erika_.py,1075,46.50640518741104,8,38,2,7,cs35,s23,23
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s23/submission_185215161/final|finalProject.py,2493,3.851789542235362,0,594,0,4,cs35,s23,23
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s24/submission_259876917/final|text_file_650998310-pyautogui_final_nightshade.py,87,42.40348692403487,0,12,0,4,cs35,s24,24
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s23/submission_185243490/final|cs35 final project reflection.py,19,0.0,0,2,0,2,cs35,s23,23
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s24/submission_259842587/final|text_file_650818021-cgm_data_cleanse.py,472,45.69999314739944,8,8,1,4,cs35,s24,24
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s24/submission_259842587/final|text_file_650817908-cgm_data_cleanse.py,472,45.69999314739944,8,8,1,4,cs35,s24,24
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s23/submission_185193739/final|Johnny Yang Project.py,480,30.865686038099827,1,29,1,6,cs35,s23,23
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s24/submission_259810734/final|text_file_650534888-teaData.py,397,23.070739549839224,10,158,2,7,cs35,s24,24
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s24/submission_259811983/final|text_file_650544977-Neural_Style_Transfer.py,92,11.43641354071363,3,8,1,4,cs35,s24,24
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/post-LLM data/cs35/submissions_cs35_s23/submission_185186492/final|Final_Proj_V2.py,366,13.494664899923281,15,32,3,8,cs35,s23,23
