File Name,LOC,Comment Percentage,Docstring Percentage,Empty Percentage,Number Of Functions,Number of Loops,CycloComplexity,Average Function Length,Max Depth,Execution Time,Weeks Covered,Class,Semester,Year
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12419123/final_variation.py,403,7.196,18.11414392059553,14.888337468982629,28,187,14.392857142857142,-1,4,1.242,6,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12409036/final.py,546,8.974,15.567765567765568,16.84981684981685,29,206,18.82758620689655,41,3,1.297,6,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12366819/final.py,464,53.448,11.637931034482758,16.379310344827587,11,69,42.18181818181818,10,2,1.284,6,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12397263/final.py,496,16.331,9.274193548387096,17.540322580645164,14,124,35.42857142857143,1,2,1.31,4,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12359546/final.py,315,34.286,13.65079365079365,20.952380952380953,9,57,35.0,2,2,1.303,5,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2018/submission_7544920/Final Project/t.py,157,15.287,12.738853503184714,20.382165605095544,8,18,19.625,5,3,1.275,5,CS35,sp2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12413177/final.py,498,20.281,9.839357429718875,21.084337349397593,13,75,38.30769230769231,8,2,1.263,5,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2018/submission_8043269/CS35-2.0-master/Final Project/NeuroPy/Neuropy.py,268,11.194,9.701492537313433,8.208955223880597,9,100,29.77777777777778,18,3,1.294,7,CS35,sp2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12325199/final.py,477,12.159,22.0125786163522,20.335429769392032,27,153,17.666666666666668,28,3,1.286,6,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12419123/final.py,375,8.533,17.599999999999998,13.6,24,173,15.625,27,4,1.277,6,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12409219/final.py,395,7.089,25.063291139240505,6.8354430379746836,24,172,16.458333333333332,23,4,1.293,7,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12383752/final.py,317,5.678,22.082018927444793,20.50473186119874,14,70,22.642857142857142,11,3,1.289,5,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12406293/Final.py,230,3.043,16.08695652173913,13.043478260869565,18,68,12.77777777777778,22,3,1.259,7,CS5,s2018,2018
