File Name,LOC,Comment Percentage,Docstring Percentage,Blank Percentage,Number Of Functions,Average Function Length,Number of Loops,Average Loop Length,CycloComplexity,Max Depth,Execution Time,Class,Semester,Year
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_215864496/final.py,73,1.36986301369863,0.0,15.068493150684931,7,8.428571428571429,3,8.666666666666666,24,4,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_216326438/final.py,260,2.307692307692308,41.92307692307693,10.76923076923077,17,9.470588235294118,19,4.2105263157894735,56,5,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_217571003/final.py,306,5.228758169934641,25.49019607843137,16.33986928104575,10,28.0,14,12.857142857142858,74,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_217580080/final.py,296,27.7027027027027,3.040540540540541,30.405405405405407,3,22.333333333333332,4,24.25,52,1,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_217679803/final.py,504,24.00793650793651,8.531746031746032,19.246031746031747,14,32.642857142857146,31,12.03225806451613,184,5,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_217797488/final.py,357,5.322128851540616,16.246498599439775,17.92717086834734,19,16.789473684210527,18,6.833333333333333,129,3,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_217888476/final.py,366,13.661202185792352,26.775956284153008,18.0327868852459,15,20.6,9,6.111111111111111,52,3,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_217891845/finalproject.py,472,11.652542372881355,4.661016949152542,19.915254237288135,16,12.875,1,76.0,78,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_217897483/final.py,1004,21.91235059760956,8.565737051792828,11.45418326693227,18,27.22222222222222,2,131.0,124,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_217966231/final.py,383,12.532637075718014,19.06005221932115,20.365535248041773,15,19.133333333333333,12,7.0,67,3,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_217973499/final.py,1554,11.518661518661519,8.880308880308881,17.63191763191763,48,30.604166666666668,73,22.45205479452055,610,4,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_217988601/final.py,1811,2.1535063500828273,5.080066261733849,7.1783545002760905,37,45.891891891891895,151,6.0198675496688745,1455,5,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218009169/final.py,333,29.129129129129126,6.906906906906906,18.91891891891892,8,12.125,1,51.0,52,1,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218155142/final.py,305,27.86885245901639,6.885245901639345,22.62295081967213,7,13.428571428571429,4,13.75,46,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218258371/final.py,416,28.846153846153843,18.028846153846153,18.509615384615387,15,16.333333333333332,9,5.444444444444445,55,3,-3.0,CS5,s2023,2023
